howa,انا,نتا,نتي,حووا,حيا,حنا,نتوما,حوما
kla,كليت,كليتي,كليتي,كلا,كلات,كلينا,كليتو,كلاو
chreb,شربت,شربتي,شربتي,شرب,شربات,شربنا,شربتو,شربو
dkhel,دخلت,دخلتي,دخلتي,دخل,دخلات,دخلنا,دخلتو,دخلو
khrej,خرجت,خرجتي,خرجتي,خرج,خرجات,خرجنا,خرجتو,خرجو
f8em,فهمت,فهمتي,فهمتي,فهم,فهمات,فهمنا,فهمتو,فهمو
chre7,شرحت,شرحتي,شرحتي,شرح,شرحات,شرحنا,شرحتو,شرحو
9ra,قريت,قريتي,قريتي,قرا,قرات,قرينا,قريتو,قراو
9erra,قريت,قريتي,قريتي,قرا,قرات,قرينا,قريتو,قراو
sme3,سمعت,سمعتي,سمعتي,سمع,سمعات,سمعنا,سمعتو,سمعو
chaf,شفت,شفتي,شفتي,شاف,شافت,شفنا,شفتو,شافو
chm,شميت,شميتي,شميتي,شم,شمات,شمينا,شميتو,شمو
da9,دقت,دقتي,دقتي,داق,داقت,دقنا,دقتو,داقو
9as,قست,قستي,قستي,قاس,قاست,قسنا,قستو,قاسو
mcha,مشيت,مشيتي,مشيتي,مشا,مشات,مشينا,مشيتو,مشاو
ja,جيت,جيتي,جيتي,جا,جات,جينا,جيتو,جاو
tl3,تلعت,تلعتي,تلعتي,تلع,تلعات,تلعنا,تلعتو,تلعو
nzl,نزلت,نزلتي,نزلتي,نزل,نزلات,نزلنا,نزلتو,نزلو
3am,عمت,عمتي,عمتي,عام,عامت,عمنا,عمتو,عامو
ghr9,غرقت,غرقتي,غرقتي,غرق,غرقات,غرقنا,غرقتو,غرقو
lbs,لبست,لبستي,لبستي,لبس,لبسات,لبسنا,لبستو,لبسو
slt,سلت,سلتي,سلتي,سلت,سلتات,سلتنا,سلتو,سلتو
chra,شريت,شريتي,شريتي,شرا,شرات,شرينا,شريتو,شراو
ba3,بعت,بعتي,بعتي,باع,باعت,بعنا,بعتو,باعو
ttawa,تاويت,تاويتي,تاويتي,تاوا,تاوات,تاوينا,تاويتو,تاواو
ktb,كتبت,كتبتي,كتبتي,كتب,كتبات,كتبنا,كتبتو,كتبو
ms7,مسحت,مسحتي,مسحتي,مسح,مسحات,مسحنا,مسحتو,مسحو
drab,دربت,دربتي,دربتي,دراب,دربات,دربنا,دربتو,دربو
tsalm,تسالمت,تسالمتي,تسالمتي,تسالم,تسالمات,تسالمنا,تسالمتو,تسالمو
3ya,عييت,عييتي,عييتي,عيا,عيات,عيينا,عييتو,عياو
tskhskh,تسخسخت,تسخسختي,تسخسختي,تسخسخ,تسخسخات,تسخسخنا,تسخسختو,تسخسخو
D7k,ضحكت,ضحكتي,ضحكتي,ضحك,ضحكات,ضحكنا,ضحكتو,ضحكو
ghdb,غدبت,غدبتي,غدبتي,غدب,غدبات,غدبنا,غدبتو,غدبو
jab,جبت,جبتي,جبتي,جاب,جابت,جبنا,جبتو,جابو
kan,كنت,كنتي,كنتي,كان,كانت,كنا,كنتو,كانو
dar,درت,درتي,درتي,دار,دارت,درنا,درتو,دارو
gal,ڭلت,ڭلتي,ڭلتي,ڭال,ڭالت,ڭلنا,ڭلتو,ڭالو
3ndo,عندي,عندك,عندك,عندو,عندحا,عندنا,عندكوم,عندحوم
chedd,شديت,شديتي,شديتي,شد,شدات,شدينا,شديتو,شدو
fkkr,فكرت,فكرتي,فكرتي,فكر,فكرات,فكرنا,فكرتو,فكرو
ba,بيت,بيتي,بيتي,با,بات,بينا,بيتو,باو
bgha,بغيت,بغيتي,بغيتي,بغا,بغات,بغينا,بغيتو,بغاو
l9a,لقيت,لقيتي,لقيتي,لقا,لقات,لقينا,لقيتو,لقاو
3Ta,عطيت,عطيتي,عطيتي,عطا,عطات,عطينا,عطيتو,عطاو
khdm,خدمت,خدمتي,خدمتي,خدم,خدمات,خدمنا,خدمتو,خدمو
3yeT,عيطت,عيطتي,عيطتي,عيط,عيطات,عيطنا,عيطتو,عيطو
khaSSo,خاصني,خاصك,خاصك,خاصو,خاصحا,خاصنا,خاصكوم,خاصحوم
7ess,حسيت,حسيتي,حسيتي,حس,حسات,حسينا,حسيتو,حسو
wlla,وليت,وليتي,وليتي,ولا,ولات,ولينا,وليتو,ولاو
7TT,حطيت,حطيتي,حطيتي,حط,حطات,حطينا,حطيتو,حطو
3na,عنيت,عنيتي,عنيتي,عنا,عنات,عنينا,عنيتو,عناو
bda,بديت,بديتي,بديتي,بدا,بدات,بدينا,بديتو,بداو
l9a,لقيت,لقيتي,لقيتي,لقا,لقات,لقينا,لقيتو,لقاو
3jb,عجبت,عجبتي,عجبتي,عجب,عجبات,عجبنا,عجبتو,عجبو
khbr,خبرت,خبرتي,خبرتي,خبر,خبرات,خبرنا,خبرتو,خبرو
3awn,عاونت,عاونتي,عاونتي,عاون,عاونات,عاونا,عاونتو,عاونو
